40713,718,654,478
40728,323,464,475
40744,319,649,478
40760,493,684,473
40776,478,619,473
40792,335,631,476
40807,349,323,475
40823,393,174,473
40839,334,318,477
40855,482,567,475
40871,520,358,474
40887,357,243,477
40902,320,579,477
40918,413,215,477
40934,283,405,476
40950,311,157,476
40966,681,268,476
40982,295,509,479
40997,301,210,474
41013,432,674,474
41029,599,197,477
41045,312,498,474
41061,432,257,473
41076,342,168,472
41092,665,629,473
41108,459,664,476
41124,379,618,475
41140,478,207,474
41156,300,193,474
41171,599,481,475
41187,458,309,473
41203,292,261,477
41219,502,432,477
41235,453,180,475
41250,306,661,477
41266,508,215,473
41282,303,240,474
41298,497,516,475
41314,341,178,475
41330,309,578,477
41345,682,204,475
41361,301,550,476
41377,295,572,478
41393,620,623,476
41409,311,359,475
41424,525,642,475
41440,349,281,477
41456,374,652,474
41472,614,652,477
41488,588,561,473
41504,290,641,477
41519,339,610,473
41535,279,571,473
41551,378,641,475
41567,636,459,473
41583,285,297,474
41598,387,199,474
41614,326,627,475
41630,318,515,475
41646,493,662,474
41662,702,462,477
41678,516,373,477
41693,303,456,474
41709,377,644,472
41725,331,202,469
41741,313,341,468
41757,331,264,471
41772,742,621,476
41788,305,616,479
41804,415,646,478
41820,499,575,480
41836,511,641,476
41852,459,634,474
41867,392,534,475
41883,498,152,475
41899,511,627,477
41915,506,243,477
41931,487,655,477
41947,490,370,478
41962,509,221,475
41978,512,361,475
41994,512,166,478
42010,511,642,480
42026,512,629,482
42041,514,385,483
42057,512,548,484
42073,511,272,481
42089,502,301,482
42105,359,613,486
42121,333,397,483
42136,668,469,480
42152,395,410,481
42168,392,299,479
42184,343,522,477
42200,426,347,477
42215,434,572,478
42231,424,601,476
42247,437,582,479
42263,370,459,479
42279,407,462,479
42295,338,670,479
42310,614,370,482
42326,335,471,480
42342,511,628,483
42358,347,643,480
42374,446,601,481
42389,451,258,479
42405,396,241,482
42421,463,667,478
42437,314,473,479
42453,311,316,476
42469,733,283,476
42484,659,430,478
42500,381,638,482
42516,471,325,477
42532,386,634,479
42548,310,622,477
42563,299,172,480
42579,737,392,480
42595,582,652,479
42611,611,637,471
42627,509,634,472
42643,460,262,471
42658,345,489,469
42674,364,200,474
42690,630,466,474
42706,382,428,475
42722,367,632,477
42737,331,624,479
42753,329,617,473
42769,317,375,472
42785,664,424,472
42801,346,558,470
42816,662,284,470
42832,609,275,473
42848,521,645,472
42864,358,647,471
42880,403,212,469
42896,289,645,470
42911,362,641,475
42927,307,626,466
42943,309,192,471
42959,372,252,473
42975,307,535,473
42990,616,214,472
43006,540,316,469
43022,550,393,473
43038,548,449,472
43054,389,659,467
